#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery3
#Date Time: 2024-02-08 19:11:51.942
#Start: 1 Hz
#Stop: 2e+06 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 32 
#Channel: Channel 2
#Range: 5.13569 V
#Offset: 8.29643e-05 V
#Relative: yes

Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1.000000000000002,-43.96483877176244,-5.575643654026678
1.101556726136675,-42.02245147476283,-9.611498158912578
1.213427220896945,-39.87242357713987,-13.87676497355594
1.336658916856357,-37.49145982058762,-18.71513439624876
1.472405620413677,-34.80023567364334,-24.41389408864443
1.621938314768127,-32.02305053411627,-30.23440827058212
1.786657060011607,-29.0950523972157,-36.59720314852787
1.968104101755354,-26.07478936769422,-43.06398704273482
2.167978311025786,-23.0317108700336,-49.83632005712772
2.388151090628878,-19.98065341663706,-56.85179840313646
2.630683896912867,-16.9247157678282,-64.23453408683054
2.897847540983796,-13.84611106742463,-72.05079832417465
3.192143450089312,-10.85314752471614,-80.22962180516166
3.516327088239006,-7.885047240252582,-88.9310045359733
3.873433755346252,-4.951223452626422,-98.23502268274487
4.266807006446487,-2.124649833093804,-108.0430027153775
4.700129957078209,0.6129839636134744,-118.4572087171542
5.177459767935964,3.242502070867479,-129.5258882897275
5.703265631671878,5.74261257519905,-141.2055236219871
6.282470617512264,8.088517964872032,-153.5324200735512
6.920497765476638,10.25462000118744,-166.4793254434796
7.623320861774605,12.21043512729971,-179.9499840621617
8.397520370785816,13.92558815275569,166.208840981486
9.250345047308825,15.37436620197672,152.2696752524311
10.1897798059481,16.55408270041927,138.5218707591691
11.22462048309374,17.46937532120527,125.3446350164228
12.36455619148338,18.15219819288668,113.0456072060339
13.62026003842331,18.64915173927789,101.7667789666548
15.00348905705574,19.00275546662663,91.57421114524823
16.52719428631772,19.25416348951391,82.42282786087893
18.20564203026083,19.43061181609913,74.26141173084842
20.05454743207029,19.56256493729877,67.00568262624124
22.09122161342397,19.65308561749115,60.47714232311614
24.33473375684297,19.72266717009878,54.66179000955609
26.80608964859552,19.77294893310757,49.45329636515361
29.52842835383298,19.81107320259973,44.78192318262435
32.52723886540949,19.84361148061932,40.5782368418844
35.83059875484602,19.87099138934989,36.78023527180348
39.46943705990486,19.88845258477582,33.34531480151494
43.47782387016617,19.90473035575576,30.25665736160077
47.89328932196705,19.92845878028111,27.39119104670223
52.7571749894225,19.951106210886,25.13100168912233
58.11502096156779,19.93950024530723,22.62242691191713
64.01699222978847,19.94595963865573,20.53046016510691
70.51834837776262,19.95498762734865,18.62952256525375
77.67996097157355,19.96001592996342,16.89652147533574
85.56888349427092,19.96465367181439,15.33494669369552
94.25897916111927,19.96614151926919,13.88159215758704
103.8316124937074,19.97657887614471,12.60046279051265
114.3764111280598,19.97812102410315,11.42002083425242
125.9921049894874,19.97996204903517,10.35558650966211
138.7874506912877,19.99713604895204,9.333301701821068
152.8822498123495,19.99907440989022,8.61802020877407
168.4084705877004,19.98753963962677,7.667374097153182
185.5114835142713,19.99074098304294,6.89585875736006
204.3514224407379,19.9909900319789,6.264637704110861
225.104683885191,19.99169302600865,5.579679660089791
247.9655786186014,19.99442546470376,4.999694721927323
273.1481509776921,19.99852546666275,4.512827732259318
300.8881829412715,19.98211725547928,3.08885645878026
331.4454017339991,19.98947443001497,3.527459949475293
365.1059116271583,19.99826084363113,3.107259094709121
