#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery3
#Date Time: 2024-02-08 19:35:23.243
#Start: 1 Hz
#Stop: 2e+06 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 32 
#Channel: Channel 2
#Range: 5.13569 V
#Offset: 8.29643e-05 V
#Relative: yes

Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1.000000000000002,-43.79014581233968,-5.419648488701091
1.101556726136675,-41.92888878441256,-8.70554509133564
1.213427220896945,-39.82343436971784,-13.12117107521072
1.336658916856357,-37.36078501579866,-18.65423402042464
1.472405620413677,-34.79103967583062,-24.34528284160012
1.621938314768127,-31.96300603086023,-30.44228863532531
1.786657060011607,-29.05568614232046,-36.50510968612254
1.968104101755354,-26.05712497237884,-43.04586566451667
2.167978311025786,-23.00178252935245,-49.83157726886405
2.388151090628878,-19.92995563275706,-56.93682104255758
2.630683896912867,-16.86206433432692,-64.29565299729582
2.897847540983796,-13.82173892975795,-72.08646709493155
3.192143450089312,-10.79567761033734,-80.36629989339033
3.516327088239006,-7.833001811461884,-89.08598166381525
3.873433755346252,-4.928416571623936,-98.34957453815699
4.266807006446487,-2.101267230645261,-108.1844365554758
4.700129957078209,0.6311672316165564,-118.6030094743084
5.177459767935964,3.252851332720331,-129.6235913657596
5.703265631671878,5.74628760198427,-141.2806773735042
6.282470617512264,8.084863681007521,-153.5937471496527
6.920497765476638,10.24512275434745,-166.5105309972998
7.623320861774605,12.19531137116617,-179.9546871602914
8.397520370785816,13.90404765210988,166.2584820077707
9.250345047308825,15.34940520683839,152.3773883372948
10.1897798059481,16.52897525431124,138.7094987647605
11.22462048309374,17.44846058780967,125.59685261758
12.36455619148338,18.1374977065549,113.359460231706
13.62026003842331,18.64236456438577,102.118701832987
15.00348905705574,19.00633579395866,91.95220492764105
16.52719428631772,19.26652461207566,82.82474314124084
18.20564203026083,19.45269869555119,74.66852146559815
20.05454743207029,19.58821521965284,67.38186705290975
22.09122161342397,19.68778787596903,60.86490636255964
24.33473375684297,19.76158269115489,55.04397237791662
26.80608964859552,19.81846266689896,49.81123199135516
29.52842835383298,19.86115109893935,45.12145373328619
32.52723886540949,19.89524493332614,40.9032125333467
35.83059875484602,19.91958501507002,37.10791475805288
39.46943705990486,19.94522232682381,33.65242171358826
43.47782387016617,19.96244102153126,30.53864235582449
47.89328932196705,19.98388585934786,27.69226621169406
52.7571749894225,20.00525204681173,25.21110470728502
58.11502096156779,20.00176491963087,22.87239027028672
64.01699222978847,20.00997432142036,20.77958816518253
70.51834837776262,20.01838411620323,18.86606730368794
77.67996097157355,20.0257704615679,17.14661817029037
85.56888349427092,20.03162507774126,15.57231708525658
94.25897916111927,20.0334638073347,14.20219385566907
103.8316124937074,20.02657509746031,12.83764053556252
114.3764111280598,20.04509042341751,11.68199476865296
125.9921049894874,20.04572829313138,10.59808658509992
138.7874506912877,20.03763505255002,9.56053330995811
152.8822498123495,20.07225702091209,8.640643296917119
168.4084705877004,20.05410237951289,7.932514208334457
185.5114835142713,20.06234310940845,7.244513351200123
204.3514224407379,20.05265862029171,6.620041928237931
225.104683885191,20.05825977524706,5.922786404457725
247.9655786186014,20.06062837973558,5.414762777672607
273.1481509776921,20.06684595150842,4.947078792871869
300.8881829412715,20.25024828386837,5.933428861769872
331.4454017339991,20.04255534114737,4.154145141208836
365.1059116271583,20.06638547156229,3.62461356988911
402.1848727051567,20.06486631080598,3.097305490099593
443.0294516787861,20.07090681068068,2.907248425255311
488.0220723734094,20.03563095522335,2.659322448303271
537.5839963260862,20.07344249353603,2.309589828607082
592.1792670164315,20.1044130902383,1.92779735888962
652.3190546606343,20.08780857137437,2.045301175289937
718.566442248537,20.0535508807064,1.611143112549811
791.5416976349733,20.07514109307531,1.537513245155312
871.9280810474446,20.08499544571496,1.241964184061118
960.4782423852547,20.09711922470151,1.095656996832552
1058.021268207405,20.06545395632875,1.055313787468123
1165.470444389518,20.06619026968887,0.939685116276566
1283.83180713077,20.10983522040942,0.7628865885931972
1414.213562373096,20.06578934341924,0.7191264334656573
1557.836461825788,20.10507366650522,0.3317398719384634
1716.04523274515,20.09037677309869,0.1454027818524435
1890.32116848519,20.07334394921045,0.3141169184371009
2082.295997703392,20.07772162254847,0.02933351165803089
2293.767162077645,20.06950941262937,-0.1256572818201853
2526.714645578055,20.06894595207912,-0.1720424646704117
2783.319512864541,20.08926847264985,-0.5082857029992596
3065.98433038338,20.1059495352856,-0.7143457803168367
3377.355661363451,20.09200857556109,-0.6453892209212242
3720.348845330674,20.08438626184795,-0.7599148494901247
4098.175294148803,20.07673923255895,-1.119994335185369
4514.372560156743,20.06253741158957,-1.269359057528128
4972.837457927492,20.05547435111825,-1.578495493695872
5477.862549764418,20.05864520602872,-1.696486907376091
6034.176336545168,20.03564625238657,-1.894685626636949
6646.987530216071,20.01701443133653,-2.111575714312529
7322.033822456089,20.00342646563958,-2.344259384783422
8065.63560612671,19.95820956872711,-2.523181985039082
8884.755152496309,19.94967487359093,-2.775047314670637
9787.061798309749,19.91637002598893,-2.811232476475169
10781.00375304339,19.90427383817862,-3.077357270601091
11875.88719866962,19.8702731294915,-3.237805515140231
13081.96342253493,19.84771944289195,-3.389551953139481
14410.52479916727,19.83060629862228,-3.485304797444093
15874.010519682,19.80735752802253,-3.707924934959948
17486.12305871999,19.80246454476582,-3.891999365440391
19261.95646938656,19.7983043137451,-4.003237816452703
21218.13770740453,19.78699390493158,-4.273203771964674
23372.9823076856,19.77938375039782,-4.661389274006709
25746.66587090448,19.77291743831918,-4.935827065464393
28361.41296568832,19.76984470284136,-5.352894063977555
31241.7052150938,19.79359046906635,-5.689154528159049
34414.51051566567,19.83858221688678,-6.655417662306323
37909.53553523274,19.8428011927417,-6.98795405268195
41759.50385355275,19.81677420508903,-7.741458321815614
46000.46235001132,19.82426214513771,-8.323148910110342
50672.11870705171,19.85322644559608,-9.034567835430167
55818.21318934862,19.7910337904432,-10.52330698378779
61486.92817965766,19.81202547693542,-11.51502908276393
67731.33930578439,19.83295004647711,-12.19246506063746
74609.91238253185,19.75238520028792,-13.42720861169875
82187.05082144572,19.76903364492937,-14.58823581146854
90533.69863369993,19.80146784314475,-16.07709278096284
99728.00467198262,19.68739807747033,-18.35861389228216
109856.0543306119,19.83356781113618,-19.52201257328275
121012.675554721,19.8789545075041,-21.3833197041979
133302.3267050977,19.87479350182237,-24.03036670279453
146840.0745916684,19.89101001001765,-26.53660150913135
161752.671832863,19.90933305150802,-29.61829405074407
178179.743628068,19.86582900976178,-32.56561106086615
196275.0950548059,19.90120407568418,-36.19378645820279
216208.1511307361,19.8785623569157,-40.06837531859692
238165.5431236365,19.86725159870084,-43.8949448169399
262352.855961835,19.81180383000387,-48.74943187713793
288996.5531059249,19.81744001760683,-53.59312923216286
318346.096904145,19.77006779673681,-58.83853145535409
350676.2842841177,19.7358438198974,-64.90090574692681
386289.8196497857,19.70732645715146,-71.78005063040997
425520.1490733427,19.66942565619678,-79.01094908969118
468734.5823184201,19.69183346277793,-87.02814948456515
516337.7319257184,19.73444556470883,-96.55262890441911
568775.3015609292,19.81354471204224,-107.6796610009624
626538.2590948555,19.8167030857744,-121.0961663308056
690167.433487898,19.67482920358387,-137.3025622465086
760258.5785190784,19.15134059460159,-155.9776230961336
837467.9507707948,18.06434333218551,-176.3833390907538
922518.4540954644,16.35444860494116,163.8245164618301
1016206.408094064,14.25106651250272,145.6392835947711
1119409.003979202,11.97697582775409,129.8067051820143
1233092.517631243,9.766294556707091,115.1595151078789
1358321.356745498,7.544694531109255,101.8893687547601
1496268.026778092,5.445748254815231,88.81346356907463
1648224.109000653,3.611236306319341,74.91379033930589
1815612.35345029,2.055967033755011,59.7574287478466
2000000,0.8682767345593354,41.04477240966135
